event_id,trigger_time_utc,goes_file,goes_time_utc,delta_goes_min,match_status
ATTO_2025_0066,2025-01-04 06:24:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501040620.nc,2025-01-04 06:20:00,-4.0,ok
ATTO_2025_0067,2025-01-04 08:26:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501040830.nc,2025-01-04 08:30:00,4.0,ok
ATTO_2025_0068,2025-01-04 10:09:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041010.nc,2025-01-04 10:10:00,1.0,ok
ATTO_2025_0069,2025-01-04 10:30:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041030.nc,2025-01-04 10:30:00,0.0,ok
ATTO_2025_0070,2025-01-04 10:45:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041040.nc,2025-01-04 10:40:00,-5.0,ok
ATTO_2025_0071,2025-01-04 11:10:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041110.nc,2025-01-04 11:10:00,0.0,ok
ATTO_2025_0072,2025-01-04 11:55:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041150.nc,2025-01-04 11:50:00,-5.0,ok
ATTO_2025_0073,2025-01-04 13:49:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041350.nc,2025-01-04 13:50:00,1.0,ok
ATTO_2025_0074,2025-01-04 14:30:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041430.nc,2025-01-04 14:30:00,0.0,ok
ATTO_2025_0075,2025-01-04 15:55:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041550.nc,2025-01-04 15:50:00,-5.0,ok
ATTO_2025_0076,2025-01-04 17:38:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041740.nc,2025-01-04 17:40:00,2.0,ok
ATTO_2025_0077,2025-01-04 17:53:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041750.nc,2025-01-04 17:50:00,-3.0,ok
ATTO_2025_0078,2025-01-04 18:43:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041840.nc,2025-01-04 18:40:00,-3.0,ok
ATTO_2025_0079,2025-01-04 19:18:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041920.nc,2025-01-04 19:20:00,2.0,ok
ATTO_2025_0080,2025-01-04 19:35:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501041930.nc,2025-01-04 19:30:00,-5.0,ok
ATTO_2025_0081,2025-01-04 21:36:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501042140.nc,2025-01-04 21:40:00,4.0,ok
ATTO_2025_0082,2025-01-04 23:23:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501042320.nc,2025-01-04 23:20:00,-3.0,ok
ATTO_2025_0083,2025-01-04 23:56:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501050000.nc,2025-01-05 00:00:00,4.0,ok
ATTO_2025_0084,2025-01-05 00:27:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501050030.nc,2025-01-05 00:30:00,3.0,ok
ATTO_2025_0085,2025-01-05 03:02:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501050300.nc,2025-01-05 03:00:00,-2.0,ok
ATTO_2025_0086,2025-01-05 05:48:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501050550.nc,2025-01-05 05:50:00,2.0,ok
ATTO_2025_0087,2025-01-05 06:45:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501050640.nc,2025-01-05 06:40:00,-5.0,ok
ATTO_2025_0088,2025-01-05 08:24:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501050820.nc,2025-01-05 08:20:00,-4.0,ok
ATTO_2025_0089,2025-01-05 11:05:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501051100.nc,2025-01-05 11:00:00,-5.0,ok
ATTO_2025_0090,2025-01-05 11:36:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501051140.nc,2025-01-05 11:40:00,4.0,ok
ATTO_2025_0091,2025-01-05 13:11:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501051310.nc,2025-01-05 13:10:00,-1.0,ok
ATTO_2025_0092,2025-01-05 13:43:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501051340.nc,2025-01-05 13:40:00,-3.0,ok
ATTO_2025_0093,2025-01-05 14:15:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501051410.nc,2025-01-05 14:10:00,-5.0,ok
ATTO_2025_0094,2025-01-05 15:32:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501051530.nc,2025-01-05 15:30:00,-2.0,ok
ATTO_2025_0095,2025-01-05 15:43:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501051540.nc,2025-01-05 15:40:00,-3.0,ok
ATTO_2025_0096,2025-01-05 16:22:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501051620.nc,2025-01-05 16:20:00,-2.0,ok
ATTO_2025_0097,2025-01-05 17:47:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501051750.nc,2025-01-05 17:50:00,3.0,ok
ATTO_2025_0098,2025-01-05 18:35:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501051830.nc,2025-01-05 18:30:00,-5.0,ok
ATTO_2025_0099,2025-01-05 18:57:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501051900.nc,2025-01-05 19:00:00,3.0,ok
ATTO_2025_0100,2025-01-05 19:38:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501051940.nc,2025-01-05 19:40:00,2.0,ok
ATTO_2025_0101,2025-01-05 20:33:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501052030.nc,2025-01-05 20:30:00,-3.0,ok
ATTO_2025_0102,2025-01-05 20:58:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501052100.nc,2025-01-05 21:00:00,2.0,ok
ATTO_2025_0103,2025-01-05 21:28:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501052130.nc,2025-01-05 21:30:00,2.0,ok
ATTO_2025_0104,2025-01-05 21:58:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501052200.nc,2025-01-05 22:00:00,2.0,ok
ATTO_2025_0105,2025-01-05 23:24:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501052320.nc,2025-01-05 23:20:00,-4.0,ok
ATTO_2025_0106,2025-01-06 05:54:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501060550.nc,2025-01-06 05:50:00,-4.0,ok
ATTO_2025_0107,2025-01-06 06:30:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501060630.nc,2025-01-06 06:30:00,0.0,ok
ATTO_2025_0108,2025-01-06 06:50:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501060650.nc,2025-01-06 06:50:00,0.0,ok
ATTO_2025_0109,2025-01-06 08:21:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501060820.nc,2025-01-06 08:20:00,-1.0,ok
ATTO_2025_0110,2025-01-06 08:41:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501060840.nc,2025-01-06 08:40:00,-1.0,ok
ATTO_2025_0111,2025-01-06 10:23:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501061020.nc,2025-01-06 10:20:00,-3.0,ok
ATTO_2025_0112,2025-01-06 12:36:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501061240.nc,2025-01-06 12:40:00,4.0,ok
ATTO_2025_0113,2025-01-06 14:14:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501061410.nc,2025-01-06 14:10:00,-4.0,ok
ATTO_2025_0114,2025-01-06 14:31:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501061430.nc,2025-01-06 14:30:00,-1.0,ok
ATTO_2025_0115,2025-01-06 14:43:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501061440.nc,2025-01-06 14:40:00,-3.0,ok
ATTO_2025_0116,2025-01-06 15:07:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501061510.nc,2025-01-06 15:10:00,3.0,ok
ATTO_2025_0117,2025-01-06 16:45:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501061640.nc,2025-01-06 16:40:00,-5.0,ok
ATTO_2025_0118,2025-01-06 17:07:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501061710.nc,2025-01-06 17:10:00,3.0,ok
ATTO_2025_0119,2025-01-06 18:37:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501061840.nc,2025-01-06 18:40:00,3.0,ok
ATTO_2025_0120,2025-01-06 19:46:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501061950.nc,2025-01-06 19:50:00,4.0,ok
ATTO_2025_0121,2025-01-06 20:43:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501062040.nc,2025-01-06 20:40:00,-3.0,ok
ATTO_2025_0122,2025-01-06 21:01:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501062100.nc,2025-01-06 21:00:00,-1.0,ok
ATTO_2025_0123,2025-01-06 21:50:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501062150.nc,2025-01-06 21:50:00,0.0,ok
ATTO_2025_0124,2025-01-06 23:16:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501062320.nc,2025-01-06 23:20:00,4.0,ok
ATTO_2025_0125,2025-01-07 00:04:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501070000.nc,2025-01-07 00:00:00,-4.0,ok
ATTO_2025_0126,2025-01-07 05:13:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501070510.nc,2025-01-07 05:10:00,-3.0,ok
