event_id,trigger_time_utc,goes_file,goes_time_utc,delta_goes_min,match_status
ATTO_2025_3111,2025-05-29 19:32:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-74942.0,fora_tolerancia
ATTO_2025_3112,2025-05-29 23:14:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-75164.0,fora_tolerancia
ATTO_2025_3113,2025-05-30 00:05:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-75215.0,fora_tolerancia
ATTO_2025_3114,2025-05-30 00:59:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-75269.0,fora_tolerancia
ATTO_2025_3115,2025-05-30 02:51:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-75381.0,fora_tolerancia
ATTO_2025_3116,2025-05-30 05:14:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-75524.0,fora_tolerancia
ATTO_2025_3117,2025-05-30 05:26:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-75536.0,fora_tolerancia
ATTO_2025_3118,2025-05-30 09:02:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-75752.0,fora_tolerancia
ATTO_2025_3119,2025-05-30 11:35:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-75905.0,fora_tolerancia
ATTO_2025_3120,2025-05-30 12:12:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-75942.0,fora_tolerancia
ATTO_2025_3121,2025-05-30 13:13:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-76003.0,fora_tolerancia
ATTO_2025_3122,2025-05-30 13:42:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-76032.0,fora_tolerancia
ATTO_2025_3123,2025-05-30 14:52:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-76102.0,fora_tolerancia
ATTO_2025_3124,2025-05-30 17:06:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-76236.0,fora_tolerancia
ATTO_2025_3125,2025-05-30 17:22:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-76252.0,fora_tolerancia
ATTO_2025_3126,2025-05-30 20:46:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-76456.0,fora_tolerancia
ATTO_2025_3127,2025-05-30 23:13:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-76603.0,fora_tolerancia
ATTO_2025_3128,2025-05-31 00:00:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-76650.0,fora_tolerancia
ATTO_2025_3129,2025-05-31 00:23:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-76673.0,fora_tolerancia
ATTO_2025_3130,2025-05-31 00:53:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-76703.0,fora_tolerancia
ATTO_2025_3131,2025-05-31 01:34:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-76744.0,fora_tolerancia
ATTO_2025_3132,2025-05-31 05:27:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-76977.0,fora_tolerancia
